n,CART,weighted,max depth,min samples leaf
250,0.0,-7.9%,-7.1%,88.8%
500,0.0,-25.7%,28.9%,-30.1%
1000,0.0,-96.3%,-22.4%,-43.3%
2000,0.0,-84.6%,-90.8%,-30.6%
4000,0.0,-56.6%,-59.2%,-92.2%
8000,0.0,14.5%,2.7%,-49.1%
16000,0.0,-33.8%,-77.6%,-68.7%
