n,CART,weighted,max depth,min samples leaf
250,0.0,-45.2%,40.5%,177.5%
500,0.0,-15.7%,-2.7%,-12.1%
1000,0.0,-67.1%,62.8%,-11.2%
2000,0.0,-47.3%,-12.8%,-28.2%
4000,0.0,-3.3%,-5.1%,-7.5%
8000,0.0,-10.4%,-48.0%,-63.6%
16000,0.0,66.1%,-23.6%,-37.7%
