n,CART,weighted,max depth,min samples leaf
250,0.0,-32.2%,-1.0%,-63.2%
500,0.0,-41.4%,-0.7%,-29.9%
1000,0.0,-35.2%,-3.9%,-17.1%
2000,0.0,-32.1%,-10.8%,-10.3%
4000,0.0,-36.7%,-6.1%,-5.3%
8000,0.0,-34.4%,-9.4%,-6.3%
16000,0.0,-37.7%,-9.8%,-3.4%
