n,CART,weighted,max depth,min samples leaf
250,0.0,-0.305,-0.009,-0.568
500,0.0,-0.397,-0.043,-0.374
1000,0.0,-0.422,-0.055,-0.193
2000,0.0,-0.428,-0.087,-0.149
4000,0.0,-0.475,-0.12,-0.141
8000,0.0,-0.495,-0.147,-0.113
16000,0.0,-0.41,-0.171,-0.095
