n,CART,weighted,max depth,min samples leaf
250,0.0,-34.9%,0.5%,-81.2%
500,0.0,-28.9%,-3.6%,-29.5%
1000,0.0,-38.1%,-7.1%,-12.4%
2000,0.0,-36.5%,-8.3%,-8.0%
4000,0.0,-41.7%,-9.5%,-9.5%
8000,0.0,-35.7%,-8.4%,-6.2%
16000,0.0,-38.5%,-10.7%,-4.6%
