n,CART,weighted,max depth,min samples leaf
250,0.0,-10.3%,-2.8%,-6.4%
500,0.0,42.8%,1.8%,28.5%
1000,0.0,19.4%,-6.3%,25.3%
2000,0.0,-15.2%,-1.4%,-10.7%
4000,0.0,-4.2%,-24.9%,-18.3%
8000,0.0,-48.7%,-53.4%,-58.4%
16000,0.0,-70.8%,-79.4%,-72.1%
