n,CART,weighted,max depth,min samples leaf
250,0.0,-47.9%,-12.2%,-84.7%
500,0.0,-40.6%,-9.7%,-46.7%
1000,0.0,-57.9%,-17.6%,-40.0%
2000,0.0,-59.9%,-20.9%,-30.1%
4000,0.0,-59.1%,-26.0%,-25.4%
8000,0.0,-65.2%,-28.1%,-23.4%
16000,0.0,-61.0%,-32.5%,-23.8%
