n,CART,weighted,max depth,min samples leaf
250,0.0,-48.0%,-12.2%,-84.2%
500,0.0,-40.3%,-9.6%,-46.1%
1000,0.0,-57.9%,-17.6%,-40.0%
2000,0.0,-60.2%,-21.0%,-30.6%
4000,0.0,-58.8%,-25.9%,-25.4%
8000,0.0,-65.2%,-28.1%,-23.4%
16000,0.0,-61.0%,-32.5%,-23.8%
