n,CART,weighted,max depth,min samples leaf
250,0.0,-30.7%,-0.9%,-57.3%
500,0.0,-40.1%,-4.3%,-37.7%
1000,0.0,-42.3%,-5.4%,-19.3%
2000,0.0,-42.8%,-8.7%,-14.9%
4000,0.0,-47.5%,-12.0%,-14.1%
8000,0.0,-49.5%,-14.7%,-11.3%
16000,0.0,-41.0%,-17.1%,-9.5%
